1| 2 3 1 2 
2| 1 3 1 3 
3| 3 3 1 2 
4| 4 3 2 4 
5| 1 3 2 1 
6| 3 3 1 2 
7| 3 2 1 4 
8| 4 2 3 1 
9| 2 3 1 2 
10| 3 3 1 4 
11| 2 1 1 2 
12| 4 2 3 2 
13| 1 1 3 2 
14| 1 3 2 2 
15| 1 1 2 2 
16| 2 1 3 2 
17| 4 2 1 1 
18| 1 2 3 1 
19| 3 3 1 3 
20| 3 1 2 1 
21| 3 3 3 1 
22| 4 2 2 4 
23| 4 3 1 2 
24| 1 3 3 3 
25| 3 3 1 1 
26| 4 1 3 4 
27| 1 2 1 4 
28| 3 3 1 4 
29| 3 1 3 3 
30| 2 1 2 4 
31| 4 1 3 2 
32| 2 2 1 4 
33| 3 2 1 4 
34| 2 2 3 2 
35| 4 3 3 3 
36| 3 3 2 1 
37| 4 3 2 4 
38| 4 2 2 1 
39| 1 1 3 1 
40| 1 1 3 1 
41| 3 1 1 2 
42| 1 2 3 4 
43| 1 1 2 2 
44| 3 3 1 3 
45| 1 2 3 4 
46| 3 3 3 2 
47| 3 1 1 2 
48| 2 1 3 3 
49| 4 2 2 3 
50| 4 1 1 4 
51| 4 3 2 1 
52| 4 3 1 1 
53| 1 1 1 4 
54| 1 3 3 3 
55| 3 1 3 1 
56| 3 3 3 3 
57| 2 2 2 1 
58| 3 3 2 1 
59| 1 1 2 4 
60| 2 3 2 1 
61| 3 2 1 3 
62| 4 1 1 3 
63| 1 2 1 2 
64| 2 1 3 1 
65| 4 1 2 1 
66| 3 1 3 2 
67| 1 1 1 1 
68| 1 2 3 3 
69| 2 3 1 3 
70| 2 1 2 2 
71| 4 1 2 4 
72| 3 3 1 2 
73| 1 2 1 2 
74| 3 1 1 1 
75| 3 2 3 1 
76| 3 1 1 1 
77| 3 1 3 1 
78| 3 2 3 3 
79| 1 1 2 4 
80| 1 3 3 4 
81| 4 3 2 4 
82| 4 3 2 1 
83| 2 3 1 3 
84| 3 3 3 1 
85| 1 1 3 2 
86| 1 3 3 4 
87| 3 3 3 1 
88| 1 2 1 4 
89| 3 1 2 2 
90| 2 2 1 4 
91| 1 2 2 2 
92| 3 2 1 1 
93| 3 3 3 3 
94| 2 3 2 4 
95| 3 2 3 2 
96| 4 1 1 3 
97| 2 3 2 3 
98| 4 1 3 2 
99| 3 3 1 3 
100| 4 1 1 2 
101| 4 3 3 2 
102| 1 3 2 2 
103| 4 3 3 1 
104| 3 2 3 3 
105| 1 2 2 3 
106| 3 3 2 4 
107| 1 1 3 4 
108| 4 2 2 3 
109| 4 1 1 4 
110| 3 1 2 3 
111| 4 3 1 4 
112| 3 3 2 2 
113| 1 2 2 2 
114| 3 2 1 2 
115| 2 2 3 4 
116| 4 2 2 1 
117| 4 1 1 4 
118| 4 2 3 2 
119| 4 3 2 3 
120| 4 3 1 2 
121| 4 2 3 3 
122| 1 3 3 4 
123| 4 1 2 4 
124| 2 3 2 4 
125| 1 3 3 4 
126| 2 3 3 2 
127| 3 2 1 1 
128| 4 3 1 1 
129| 2 1 1 2 
130| 3 1 1 2 
131| 3 2 3 2 
132| 4 2 3 4 
133| 4 1 3 4 
134| 4 3 2 2 
135| 2 2 3 1 
136| 1 2 2 4 
137| 1 2 3 4 
138| 2 1 3 2 
139| 1 1 3 3 
140| 3 1 3 2 
141| 4 1 3 4 
142| 3 3 3 4 
143| 3 3 2 1 
144| 2 2 1 2 
145| 3 3 2 1 
146| 3 2 3 2 
147| 1 2 2 2 
148| 2 2 3 1 
149| 3 2 2 2 
150| 3 2 3 3 
151| 4 3 3 3 
152| 4 2 1 3 
153| 2 1 2 1 
154| 3 3 2 1 
155| 2 1 2 2 
156| 4 1 3 1 
157| 4 2 3 3 
158| 2 2 3 3 
159| 4 2 1 2 
160| 2 2 2 3 
161| 1 3 1 3 
162| 3 1 3 2 
163| 2 2 1 2 
164| 2 1 2 4 
165| 2 2 2 3 
166| 4 2 1 3 
167| 1 2 2 1 
168| 1 3 2 4 
169| 1 1 3 3 
170| 2 1 1 1 
171| 1 3 2 4 
172| 2 2 2 1 
173| 3 2 1 2 
174| 4 2 3 4 
175| 2 1 1 3 
176| 3 1 2 3 
177| 4 3 1 3 
178| 2 1 2 4 
179| 4 3 1 2 
180| 4 3 3 3 
181| 4 1 2 4 
182| 1 1 3 1 
183| 1 2 1 3 
184| 2 3 1 2 
185| 2 1 2 1 
186| 2 3 1 4 
187| 2 2 2 4 
188| 4 2 1 3 
189| 3 3 1 3 
190| 1 1 3 3 
191| 1 1 2 2 
192| 1 2 3 4 
193| 1 2 3 4 
194| 1 2 1 1 
195| 4 1 3 4 
196| 2 3 3 1 
197| 4 3 2 2 
198| 3 2 2 4 
199| 4 1 3 4 
200| 1 1 1 4 
201| 3 2 2 3 
202| 4 2 3 4 
203| 2 1 1 4 
204| 1 2 1 2 
205| 3 3 3 4 
206| 1 3 2 1 
207| 3 2 2 4 
208| 3 1 1 4 
209| 2 2 3 1 
210| 3 1 1 3 
211| 1 2 3 1 
212| 4 1 1 2 
213| 3 1 2 1 
214| 2 1 3 3 
215| 3 3 2 2 
216| 2 3 1 4 
217| 1 1 1 1 
218| 4 1 2 2 
219| 4 1 2 4 
220| 3 3 3 3 
221| 3 1 1 4 
222| 2 1 3 4 
223| 3 2 1 3 
224| 3 3 1 1 
225| 4 3 1 2 
226| 1 2 1 4 
227| 3 1 3 2 
228| 1 1 3 2 
229| 1 1 1 3 
